"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,574
 40,3750,12,"Marketing","Yes","Online","3", 0.52117584,-0.18848700, 0.58528596,-0.62264202,578
 40,3750,12,"Marketing","Yes","Online","3", 0.52117584,-0.18848700, 0.58528596,-0.62264202,579
 40,3750,12,"Marketing","Yes","Online","3", 0.52117584,-0.18848700, 0.58528596,-0.62264202,580
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,596
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,597
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,598
 40,3600,12,"STEM-Related","Yes","Online","3", 0.12790507,-0.11454987, 0.09523175, 0.25145386,621
 40,3600,12,"STEM-Related","Yes","Online","3", 0.12790507,-0.11454987, 0.09523175, 0.25145386,622
 40,3600,12,"STEM-Related","Yes","Online","3", 0.12790507,-0.11454987, 0.09523175, 0.25145386,623
 40,3600,12,"STEM-Related","Yes","Online","3", 0.12790507,-0.11454987, 0.09523175, 0.25145386,624
 40,3600,12,"STEM-Related","Yes","Online","3", 0.12790507,-0.11454987, 0.09523175, 0.25145386,625
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,634
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,635
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,636
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,637
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,638
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,639
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,640
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,641
 60,2500,12,"Governance","Yes","Online","3",-0.43901872,-0.33377492,-0.35697906,-1.05372530,647
  3,3375, 9,"Communication","Yes","In person / Online","1",-4.11064709, 9.10316677, 9.81022347,-0.35741036,650
